PoleStudio_Name,Adresse,PLZ,Stadt,Straße,Buttons,Pole Studio Beschreibung,E-Mail,Homepage,Telefon,URL_S,Art,Angebot,Created Date,Updated Date
-Pole-Aerial-Dance- Souldance,"['Turnerheimstraße 45 ', ' 90441 Nürnberg']",90441,Nürnberg,Turnerheimstraße 45,"['Übersicht', 'Klassen', 'Videos', 'Preise', 'Team']","Pole Dance | Aerial Dance | Flexibility | Akrobatik | Floorwork | SpecialsIm Souldance geht es um mehr als nur Sport.In unserem Studio bieten wir euch die Möglichkeit fit zu werden, dabei Spaß zu haben und vor allem eine positive Einstellung gegenüber dem eigenen Körper zu entwickeln. Bei uns hat jeder die Möglichkeit sich selbst zu entdecken und kreativ auszuleben.", info@studio-souldance.de,http://www.studio-souldance.de,,https://www.eversports.de/s/-pole-aerial-dance-souldance,"['Tanzen', 'Poledance', 'Tanzen', 'Flexibles Training', 'Tanzen', 'Poledance', 'Poledance', 'Tanzen', 'Flexibles Training', 'Tanzen', '70 Rezensionen', 'Tanzen', 'Poledance', 'Akrobatik', 'Floorwork', 'Chairdance', 'Aerial Dance', 'Dehnung/Flexibilität', 'Privates Training']",1 Angebot für Neukund:innen,2024-02-17 18:25:31,2024-02-17 18:25:31
Body meets Soul Leipzig,"['Hüfnerstraße ', ' 04159 Leipzig']",04159,Leipzig,Hüfnerstraße,"['Übersicht', 'Klassen', 'Workshops', 'Videos', 'Preise', 'Team']","„Sorge dich gut um deinen Körper. Es ist der einzige Ort, den du zum Leben hast.“– Jim Rohn –Bei BodymeetsSoul steht nicht nur dein Körper im Mittelpunkt. Körper und Geist sind untrennbar miteinander verbunden. Egal ob Yoga oder/und Poledance – ich biete dir Bewegung bei gleichzeitiger Entschleunigung. Ich helfe dir, an deine Grenzen zu gehen, sie zu respektieren und mit ihnen zu spielen. Fordere dich, aber überfordere dich nicht. Du bist verantwortlich für deinen Erfolg – ich für den Prozess.", info@bodymeetssoul-leipzig.de,http://www.bodymeetssoul-leipzig.de,+49  1573 1360379,https://www.eversports.de/s/body-meets-soul-leipzig,"['10 Rezensionen', 'Yoga', 'Poledance', 'Stretching', 'Yin Yoga', 'Polesport', 'Achtsamkeit', 'Yin Yang Yoga', 'Yoga Nidra', 'Online Klasse', 'Vinyasa Flow', 'Stressbewältigung']",Zum Stundenplan,2024-02-17 18:25:38,2024-02-17 18:25:38
Move On! Dance Studio & Polemotions,"['Pachtener Straße 32 ', ' 66763 Dillingen/Saar']",66763,Dillingen/Saar,Pachtener Straße 32,"['Übersicht', 'Klassen', 'Kurse', 'Preise', 'Team']","Das Tanzstudio in Dillingen/Saar für Jung und Alt bietet Tanzunterricht für Anfänger wie Fortgeschrittene ab 3 Jahren unter professioneller Leitung gut ausgebildeter Tanzpädagogen. Ob Hip Hop, Poledance, Commercial oder Fitness – hier ist für jeden Geschmack der passende Kurs zu ­finden. Auch das Thema Inklusion wird in unserer Tanzschule groß geschrieben. Wähle aus wöchentlich knapp 50 Tanzkursen, diversen Tanzstilen und mehreren Tanzlehrern deinen Lieblingskurs. Entdecke die Heimat der Vizeweltmeister-Formation „Nu Flow“ und des 2-fachen Hip Hop Weltmeisters Marc Lahutta. Werde zum Tanzpro­fi oder entdecke ein Hobby, bei dem du jede Menge Spaß haben wirst, neue Freunde kennenlernst und ganz nebenbei deine Koordination und Fitness maximal förderst. Lass dich von energiegeladenen Tanzkursen und fetziger Musik mitreißen und tanze gemeinsam mit Weltmeistern auf einer Tanzfläche. Worauf warten? Let‘s dance!", info@move-on-dance.de,http://www.move-on-dance.de,+49 17655262699,https://www.eversports.de/s/move-on-dance-studio-and-polemotions,"['Fitness', 'Tanzen', 'Fitness', 'Tanzen', 'Fitness', 'Tanzen', 'Tanzen', 'Hip Hop', 'Hip Hop', 'Streetdance', '47 Rezensionen', 'Fitness', 'Tanzen', 'Hip Hop', 'Poledance', 'Breakdance', 'Salsa', 'Ballett', 'Klassischer Tanz', 'Gesellschaftstanz', 'Kindergeburtstag', 'Akrobatik', 'Aerial Dance', 'Polesport', '60 Min.', 'Kindertanz', 'Moderner Tanz', 'Streetdance', 'Kinderangebot', 'Bachata', 'Bodyfit']",Zum Stundenplan,2024-02-17 18:25:56,2024-02-17 18:25:56
Luftbonbon,"['Königstraße 45 ', ' 32547 Bad Oeynhausen']",32547,Bad,Königstraße 45,"['Übersicht', 'Klassen', 'Workshops', 'Preise', 'Team']","Entdecke mit uns die vielseitige Welt der Luftakrobatik.Dazu gehört Poledance (Stangenakrobatik), Aerial Hoop (Luftring), Aerial Hammock (Tuch, U-förmig).Zum Ausgleich bieten wir Mobility Kurse an, für den Aufbau von Kraft, Flexibilität, Balance.Workshops, Privatstunden, JGA, Aerial Partys und freie Trainings finden regelmäßig statt, auch auf Anfrage.", info@luftbonbon.com,https://www.luftbonbon.com/,01622572081,https://www.eversports.de/s/luftbonbon,"['Poledance', 'Aerial Hoop', 'Poledance', 'Stärkung/Flexibilität', 'Poledance', '16 Rezensionen', 'Poledance', 'Aerial Yoga', 'Chairdance', 'Aerial Hoop', 'Mobility', 'Stärkung/Flexibilität', 'Aerial Hammock']",Zum Stundenplan,2024-02-17 18:26:02,2024-02-17 18:26:02
Pole Dance Studio Passion Hannover,"['Büttnerstraße 22 ', ' 30165 Hannover']",30165,Hannover,Büttnerstraße 22,"['Übersicht', 'Klassen', 'Preise', 'Team']","Das Pole Dance Studio Passion Hannover ist die ideale Adresse für Tanzakrobatik. Neben regelmäßigen Kursen in Poledance gibt es auch immer wieder Workshops und Schnupperkurse. Für die Teilnehmer sind keinerlei Vorkenntnisse erforderlich und ein Ausstieg ist natürlich jederzeit möglich, ganz ohne Stornokosten. Trainingsstunden sind auch außerhalb der üblichen Zeiten möglich und werden auch in Polnisch angeboten.",,http://www.pole-passion.de/,,https://www.eversports.de/s/pole-dance-studio-passion-hannover,"['Exotic', 'Core Strech', 'Poledance', 'Exotic', 'Poledance', 'Core Strech', 'Poledance', '14 Rezensionen', 'Poledance', 'Exotic', 'Core Strech']",1 Angebot für Neukund:innen,2024-02-17 18:26:09,2024-02-17 18:26:09
La Belle,"['Marktplatz 4 ', ' 30853 Langenhagen']",30853,Langenhagen,Marktplatz 4,"['Übersicht', 'Klassen', 'Kurse', 'Preise', 'Team']","Studio In unserem Loft-Studio La Belle trainierst du in kleinen Gruppen auf einer großzügigen Fläche von 210 qm und einer Deckenhöhe von 3,80 m an neun hochwertigen Poles in einer familiären und geschützten Atmosphäre. Wir bieten dir viel Raum und Platz für deine Kreativität, stets begleitet von unseren professionell ausgebildeten Trainerinnen oder Trainern.Von den Leveln „beginner“ bis „advanced“ sowie den weiteren vielfältigen Facetten des Pole Sports bieten wir verschiedenste und abwechslungsreiche Kursformate, stets mit der höchsten Qualität auf dem höchsten Niveau. In unseren ausgewiesenen, freien Trainingsstunden darfst du unser Loft inklusive des Equipments kostenfrei nutzen, um das Erlernte zu vertiefen und deine Kreativität frei zu entfalten. Eine Trainerin oder Trainer ist auch hier jederzeit vor Ort, um dich bei Fragen oder Hilfestellungen zu unterstützen. Ein eigener Umkleidebereich, eine einladende Lounge und auch eine Kaffee- und Teeküche laden dazu ein, es sich hier auch in den Trainingspausen gemütlich zu machen. Für die bequeme Anreise ist der direkte Anschluss an die Stadtbahn der ÜSTRA gegeben, ebenso stehen euch vor dem Studio ausreichend kostenlose Parkplätze zur Verfügung. Lerne mit uns fliegen … Wir freuen uns auf dich.", info@studio-labelle.de,http://studio-labelle.de,+49 15150993060,https://www.eversports.de/s/la-belle,"['Fitness', 'Tanzen', 'Fitness', 'Tanzen', 'Fitness', 'Poledance', 'Fitness', 'Tanzen', 'Fitness', 'Tanzen', 'Tanzen', 'Ballett', '31 Rezensionen', 'Fitness', 'Tanzen', 'Poledance', 'Ballett', 'Flexibles Training', 'Krafttraining', 'Akrobatik', 'Umkleidekabine', 'TRX®', 'Raumvermietung', 'Handstand', 'Aerial Dance', 'Aerial Akrobatik', 'Polesport', 'Mobility', 'Kleingruppentraining']",Zum Stundenplan,2024-02-17 18:26:12,2024-02-17 18:26:12
Pole Heaven,"['Theresiengasse 51/1-3 ', ' 1180 Wien']",1180,Wien,Theresiengasse 51/1-3,['Übersicht'],"Bei Pole Heaven im Wien Währing ist jeder herzlich willkommen, der das Tanzen an der Stange erlernen möchte. Neben dem Poledance sind werden dir hier aber auch noch andere Varianten wie zum Beispiel Aerial Hoop, Bodytuning, Stretching oder Special/Dance angeboten. Sowohl als Sport-Freak oder als Anfänger findest du bei Pole Heaven genau die richtige Betreuung um den Einstieg in das Gebiet so reibungslos wie möglich hinzubekommen. Ziel ist es, deinem Körper etwas Gutes zu tun und das bei so viel Spaß und Abwechslung wie möglich.", office@poleheaven.at,http://www.poleheaven.at/,,https://www.eversports.de/s/pole-heaven,"['1 Rezensionen', 'Poledance', 'Yoga']",,2024-02-17 18:26:16,2024-02-17 18:26:16
Pole Dance Palazzo Sportivo,"['Rudolf-Diesel-Straße 54 ', ' 69190 Walldorf']",69190,Walldorf,Rudolf-Diesel-Straße 54,['Übersicht'],"Herzlich Willkommen zum Online Buchungssystem vom Palazzo Sportivo. Hier kannst du unsere Pole & Aerial Klassen ganz bequem online buchen. Wir bieten, Pole Dance, Stretch&Flex, Aerial Hoop, Pole in Heels und viele weiteren Klassen in verschiedenen Levels an. Du wirst ausschließlich von einem speziell für Pole & Aerial Sportarten ausgebildeten Team unterrichtet und hast immer deine eigene Stange in allen Pole Dance Klassen.", pole@palazzo-sportivo.de,http://www.poledance-rheinneckar.de,+49 15678684972,https://www.eversports.de/s/pole-dance-palazzo-sportivo,"['16 Rezensionen', 'Aerial Hoop', 'Aerial Hammock', 'Chairdance', 'Fitness und Yoga', 'Poledance', 'Stretching']",1 Angebot für Neukund:innen,2024-02-17 18:26:21,2024-02-17 18:26:21
Poledance-Area,"['Mandtstraße 2 ', ' 42853 Remscheid']",42853,Remscheid,Mandtstraße 2,['Übersicht'],"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.", info@poledance-area.de,http://www.poledance-area.de,+49 01623675667,https://www.eversports.de/s/poledance-area,"['1 Rezensionen', 'Chairdance', 'Floorwork', 'Lapdance', 'Stretching', 'Poledance']",,2024-02-17 18:26:24,2024-02-17 18:26:24
Pole Paradise,"['Ravensburgerstraße 110-112', ' 50739 Köln']",50739,Köln,Ravensburgerstraße 110-112,"['Übersicht', 'Klassen', 'Workshops', 'Videos', 'Preise', 'Team']","Das Pole Paradise in Köln ist ein Studio, in dem Tanz und Leidenschaft mit der Stange eins werden. Angeboten werden Poledance Kurse auf verschiedenen Leveln, verschiedene Gymnastikkurse an der Stange, Aerial Hoop und Aerial Flow. Es gibt auch spezielle Angebote für Kids, Workshops, Ferienrabatte und Einsteiger-Angebote. Das Angebot ist umfangreich, komm einfach mal vorbei und lass dich von Poledance im Pole Paradise überzeugen", poleparadise@gmx.de,https://www.pole-paradise.com,+491774616007,https://www.eversports.de/s/pole-paradise,"['Fitness', 'Gymnastik', 'Gymnastik', 'Turnen', 'Gymnastik', 'Turnen', 'Fitness', 'Gymnastik', 'Gymnastik', 'Turnen', '66 Rezensionen', 'Fitness', 'Gymnastik', 'Tanzen', 'Turnen', 'Poledance', 'Akrobatik', 'Power Pole', 'Floorwork', 'Chairdance', 'Aerial Silk', 'Aerial Dance', 'Aerial Hoop', 'Aerial Akrobatik']",Zum Stundenplan,2024-02-17 18:26:29,2024-02-17 18:26:29
