"Quelle","Pole Studio","PLZ","Stadt","Land","Adresse","Telefonnummer","E-Mail-Adresse","Webseite","Facebook","Instagram","Art","Angebot","Beschreibung","Straße","Eversports ohne Einteilung","ID","Owner","Created Date","Updated Date","Bildergalerie","Richtigkeit der Angaben","Pole Studios (Pole Studio)","Online Studios (Pole Studio)","Inaktiv","Löschvermerk"
,"Wildheart Yoga & Pole Dance","73550","Waldstetten","Deutschland","{""subdivisions"":[{""code"":""BW"",""name"":""Baden-Württemberg"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Süd"",""name"":""Stuttgart"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Waldstetten"",""name"":""Waldstetten"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Waldstetten"",""location"":{""latitude"":48.7294119,""longitude"":9.8106995},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""48"",""name"":""Zur Vorstatt"",""apt"":""""},""formatted"":""Zur Vorstatt 48, 73550 Waldstetten, Deutschland"",""country"":""DE"",""postalCode"":""73550"",""subdivision"":""BW""}","'+49 015753044192","info@wildheartyogapole.de","https://wildheartyogapole.de/de_de/","http://""unbekannt""","http://""unbekannt""","Pole Studio",,,"Zur Vorstatt 48",,"0aaeeb7d-1697-4546-ab33-624f00c720b5","284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,2024-02-04T18:00:49Z,,,"/polestudio/wildheart-yoga-%26-pole-dance","/onlinestudio/wildheart-yoga-%26-pole-dance",,
,"Studio BeYou","28857 ","Syke","Deutschland","{""subdivisions"":[{""code"":""NDS"",""name"":""Niedersachsen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Syke"",""name"":""Syke"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Syke"",""location"":{""latitude"":52.9118003,""longitude"":8.8251371},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""1"",""name"":""Schloßweide"",""apt"":"""",""formattedAddressLine"":""Schloßweide 1""},""formatted"":""Schloßweide 1, 28857 Syke, Deutschland"",""country"":""DE"",""postalCode"":""28857"",""subdivision"":""NDS""}","04242 - 66 89 821","info@beyou-syke.de","http://www.beyou-syke.de",,,"Pole Studio",,,"Schloßweide 1",,"0b3142fc-76e1-44d4-b4ae-fb73a5899cd7","284241e1-0e53-4183-b67f-34edcfb7c8b1",2024-01-28T16:11:30Z,2024-02-04T18:00:49Z,,,"/polestudio/studio-beyou","/onlinestudio/studio-beyou",,
,"Polestation Academy","6971","Hard","Österreich","{""subdivisions"":[{""code"":""Vorarlberg"",""name"":""Vorarlberg"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Bregenz"",""name"":""Bregenz"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Hard"",""name"":""Hard"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""AT"",""name"":""Österreich"",""type"":""COUNTRY""}],""city"":""Hard"",""location"":{""latitude"":47.4886006,""longitude"":9.6916124},""countryFullname"":""Österreich"",""streetAddress"":{""number"":""20b"",""name"":""Marktstraße"",""apt"":"""",""formattedAddressLine"":""Marktstraße 20b""},""formatted"":""Marktstraße 20b, 6971 Hard, Österreich"",""country"":""AT"",""postalCode"":""6971""}","0664 2006568","blum.n@gmx.at","https://www.polestation.com/","https://www.facebook.com/polestationhoechst","https://www.instagram.com/polestation_academy/","Pole Studio",,,"Marktstraße 20b","https://www.eversports.at/s/polestation-academy","0b7a4f5d-d158-4cfb-8aa3-fdfa209baa41","284241e1-0e53-4183-b67f-34edcfb7c8b1",2023-05-03T14:14:27Z,2024-02-04T18:00:48Z,,,"/polestudio/polestation-academy","/onlinestudio/polestation-academy",,
,"INDEED UNIQUE - Studio Wien","1150","Wien","Österreich","{""subdivisions"":[{""code"":""Wien"",""name"":""Wien"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Wien"",""name"":""Wien"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Wien"",""name"":""Wien"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""AT"",""name"":""Österreich"",""type"":""COUNTRY""}],""city"":""Wien"",""location"":{""latitude"":48.1889329,""longitude"":16.3332869},""countryFullname"":""Österreich"",""streetAddress"":{""number"":""9"",""name"":""Kranzgasse"",""apt"":"""",""formattedAddressLine"":""Kranzgasse 9""},""formatted"":""Kranzgasse 9, 1150 Wien, Österreich"",""country"":""AT"",""postalCode"":""1150""}","'+43 677 644 841 60
+43 677 643 915 43","indeed.unique@gmail.com","https://www.indeedunique.com/","https://www.facebook.com/Indeedunique","https://www.instagram.com/indeedunique_/","Pole Studio",,,"Kranzgasse 9","https://www.eversports.at/s/indeed-unique-studio-wien","0bd01779-bf46-4ff6-ae91-61fdeafc9906","284241e1-0e53-4183-b67f-34edcfb7c8b1",2023-05-03T14:14:27Z,2024-02-04T18:00:47Z,,,"/polestudio/indeed-unique---studio-wien","/onlinestudio/indeed-unique---studio-wien",,
,"Polefitness by Sophie M.","8312","Schwarzenberg","Deutschland","{""subdivisions"":[{""code"":""SN"",""name"":""Sachsen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Lauter-Bernsbach"",""name"":""Lauter-Bernsbach"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Lauter-Bernsbach"",""location"":{""latitude"":50.5627503,""longitude"":12.7481141},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""46"",""name"":""Hauptstraße"",""apt"":""""},""formatted"":""Hauptstraße 46, 08312 Lauter-Bernsbach, Deutschland"",""country"":""DE"",""postalCode"":""08312"",""subdivision"":""SN""}","01516 5110424","polefitness-schwarzenberg@web.de","https://sophies-polefitness.de/","https://www.facebook.com/polefitnessbysophiem/","https://www.instagram.com/polefitness_bysophiem/","Pole Studio",,,"Hauptstraße 46",,"0bd87008-d488-405e-a09c-40c1dc824266","284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,2024-02-04T18:00:48Z,,,"/polestudio/polefitness-by-sophie-m.","/onlinestudio/polefitness-by-sophie-m.",,
,"Unique Studios Schweinfurt","97421","Schweinfurt","Deutschland","{""subdivisions"":[{""code"":""BY"",""name"":""Bayern"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Unterfranken"",""name"":""Unterfranken"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Schweinfurt"",""name"":""Schweinfurt"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Schweinfurt"",""location"":{""latitude"":50.04095269999999,""longitude"":10.2242884},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""17"",""name"":""Luitpoldstraße"",""apt"":"""",""formattedAddressLine"":""Luitpoldstraße 17""},""formatted"":""Luitpoldstraße 17, 97421 Schweinfurt, Deutschland"",""country"":""DE"",""postalCode"":""97421"",""subdivision"":""BY""}","0170 5218512","info@uniquestudios.de ","https://www.uniquestudios.de/","https://www.facebook.com/polefitness.wuerzburg","https://www.instagram.com/uniquestudios.de/","Pole Studio",,,"Luitpoldstraße 17",,"0c877bb7-2545-4c83-9190-bcdbdc1cc953","284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,2024-02-04T18:00:49Z,,,"/polestudio/unique-studios-schweinfurt","/onlinestudio/unique-studios-schweinfurt",,
,"Poledance 4 You","10409","Berlin","Deutschland","{""subdivisions"":[{""code"":""BE"",""name"":""Berlin"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Berlin"",""name"":""Berlin"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Berlin"",""location"":{""latitude"":52.5442973,""longitude"":13.438103},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""14"",""name"":""Naugarder Straße"",""apt"":""""},""formatted"":""Naugarder Str. 14, 10409 Berlin, Deutschland"",""country"":""DE"",""postalCode"":""10409"",""subdivision"":""BE""}","01575 8498415","info@poledance4you.de","https://www.poledance4you.de/","https://www.facebook.com/poledance4you.de/","https://www.instagram.com/poledance4you/","Pole Studio",,,"Naugarder Str. 14","https://www.eversports.de/s/poledance-4-you","0d1bf25b-8c3b-4329-ad31-4db9af763cba","284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,2024-02-04T18:53:41Z,,,"/polestudio/poledance-4-you","/onlinestudio/poledance-4-you",,
,"Luftbonbon","32547","Bad Oeynhausen","Deutschland","{""subdivisions"":[{""code"":""NRW"",""name"":""Nordrhein-Westfalen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Detmold"",""name"":""Detmold"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Bad Oeynhausen"",""name"":""Bad Oeynhausen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Bad Oeynhausen"",""location"":{""latitude"":52.20604760000001,""longitude"":8.8094395},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""45"",""name"":""Königstraße"",""apt"":"""",""formattedAddressLine"":""Königstraße 45""},""formatted"":""Königstraße 45, 32547 Bad Oeynhausen, Deutschland"",""country"":""DE"",""postalCode"":""32547"",""subdivision"":""NRW""}","01622572081","info@luftbonbon.com","https://www.luftbonbon.com/","https://www.facebook.com/people/Luftbonbon-Luftakrobatik-Bad-Oeynhausen/100082950021607/","https://www.instagram.com/luft.bonbon/","Pole Studio",,,"Königstraße 45","https://www.eversports.de/sw/luftbonbon","0d60eea6-11b5-41cd-a5b3-cbc750cc685a","284241e1-0e53-4183-b67f-34edcfb7c8b1",2023-05-03T15:31:32Z,2024-02-04T18:00:47Z,,,"/polestudio/luftbonbon","/onlinestudio/luftbonbon",,
,"Chromotion - Aerial Dance Studio","60388","Frankfurt am Main","Deutschland","{""subdivisions"":[{""code"":""HE"",""name"":""Hessen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""DA"",""name"":""Darmstadt"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""Frankfurt am Main"",""name"":""Frankfurt am Main"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Frankfurt am Main"",""location"":{""latitude"":50.1372648,""longitude"":8.7336514},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""45"",""name"":""Flinschstraße"",""apt"":"""",""formattedAddressLine"":""Flinschstraße 45""},""formatted"":""Flinschstraße 45, 60388 Frankfurt am Main, Bergen-Enkheim, Deutschland"",""country"":""DE"",""postalCode"":""60388"",""subdivision"":""HE""}","069 40802770","chromotion@dynochrom.de","https://www.chromotion-ffm.de/",,"https://www.instagram.com/chromotion.ffm/","Pole Studio","<p class=""font_8"">Aktuell findest du bei uns Pole Dance &amp; Aerial Hoop Kurse. Auch verschiedene Workshops haben wir im Angebot. &nbsp;Komme gern zu einer Schnupperstunde und lerne uns und unser Aerial Studio kennen.</p>",,"Flinschstraße 45",,"0dc24c74-7d39-4fc3-b615-ebdae245c03a","284241e1-0e53-4183-b67f-34edcfb7c8b1",2024-02-14T20:02:17Z,2024-02-14T20:02:17Z,,,"/polestudio/chromotion---aerial-dance-studio","/onlinestudio/chromotion---aerial-dance-studio",,
,"exQUIsuite","33602","Bielefeld","Deutschland","{""subdivisions"":[{""code"":""NRW"",""name"":""Nordrhein-Westfalen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Detmold"",""name"":""Detmold"",""type"":""ADMINISTRATIVE_AREA_LEVEL_2""},{""code"":""BI"",""name"":""Bielefeld"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Bielefeld"",""location"":{""latitude"":52.0168463,""longitude"":8.5252583},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""3"",""name"":""Gadderbaumer Straße"",""apt"":""""},""formatted"":""Gadderbaumer Str. 3, 33602 Bielefeld, Deutschland"",""country"":""DE"",""postalCode"":""33602""}","01575 1704132","office@exquisuite.de","http://exquisuite.de/","https://www.facebook.com/exquisuite.studio","https://www.instagram.com/exquisuite/","Pole Studio",,,"Gadderbaumer Str. 3",,"0e006a25-fdec-415c-a6bf-9e7ede99f5b2","284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,2024-02-04T18:00:47Z,,,"/polestudio/exquisuite","/onlinestudio/exquisuite",,
,"Pole Emotion Bremerhaven","27568","Bremerhaven","Deutschland","{""subdivisions"":[{""code"":""HB"",""name"":""Bremen"",""type"":""ADMINISTRATIVE_AREA_LEVEL_1""},{""code"":""Bremerhaven"",""name"":""Bremerhaven"",""type"":""ADMINISTRATIVE_AREA_LEVEL_3""},{""code"":""DE"",""name"":""Deutschland"",""type"":""COUNTRY""}],""city"":""Bremerhaven"",""location"":{""latitude"":53.5429818,""longitude"":8.580009},""countryFullname"":""Deutschland"",""streetAddress"":{""number"":""31"",""name"":""Bürgermeister-Smidt-Straße"",""apt"":""""},""formatted"":""Bürgermeister-Smidt-Straße 31, 27568 Bremerhaven, Deutschland"",""country"":""DE"",""postalCode"":""27568"",""subdivision"":""HB""}","0176 46600631","poleemotion@hotmail.com","https://www.poleemotion-bremerhaven.de/","http://""www.facebook.com/people/poleemotion_bhv/100076540896385/""","https://www.instagram.com/poleemotion_bhv/?hl=de","Pole Studio",,,"Bürgermeister-Smidt-Straße 31",,"0ede445d-7690-4767-b3b4-fe58109601d5","284241e1-0e53-4183-b67f-34edcfb7c8b1",2022-11-18T11:57:31Z,2024-02-04T18:00:47Z,,,"/polestudio/pole-emotion-bremerhaven","/onlinestudio/pole-emotion-bremerhaven",,
